ERROR_NO_STRING_FOUND	Es wurde kein Text gefunden in de/locale_quest.txt
TUTORIAL_INTRO_TITLE	Willkommen auf Kimiko!
TUTORIAL_INTRO_LETTER	Bevor du mit deinen Abenteuer beginnen kannst[ENTER]benötigst du etwas Ausrüstung. Du kannst[ENTER]ja schließlich nicht hier rumlaufen mit nichts an[ENTER]als deiner Haut und was immer du da auch[ENTER]gerade anhast.[ENTER][ENTER]Sprich mit dem Alten Mann er wird dir sagen[ENTER]was zu tun ist.[ENTER]
TUTORIAL_INTRO_TALK_OLDMAN	Ah der nächste tapfere aber dennoch unerfahrene[ENTER]Held von Kimiko? Was du brauchst ist eine[ENTER]Ausbildung bei Meister Hong! Oh ja. Er kann dir[ENTER]zeigen wie man zum großen Krieger wird, oder[ENTER]er wird dich dabei brechen und du wirst qualvoll[ENTER]verenden. Klingt doch toll oder?[ENTER][ENTER]Überquere diese alte seid 2.000 Jahren nicht mehr[ENTER]gewartete Brücke und sprich mit ihm. Er sucht immer[ENTER]nach neuen Rekurten die er brechen kann.[ENTER][ENTER]Viel Glück! (Du wirst es brauchen.)
TUTORIAL_INTRO_TITLE2	Die Ausbildung
TUTORIAL_INTRO_LETTER2	Ich sollte schnell mit Ausbilder Hong reden.[ENTER]
TUTORIAL_INTRO_TALK_TRAINER	Na nu, was bist du denn für eine halbe Portion?[ENTER]Willst du dich als Zahnstocher des Razador bewerben. [ENTER]HaHaHa!!![ENTER][ENTER]Ein Held willst du werden? Oh je die Rekruten sind [ENTER]auch nicht mehr was sie mal waren. [ENTER][ENTER]Naja was solls, versuchen wir es! Bist du bereit?[ENTER]
TUTORIAL_INTRO_TALK_TRAINER_TITLE	Ausbilder Hong
TUTORIAL_INTRO_TITLE3	Ausbildung abschließen!
TUTORIAL_INTRO_LETTER3	Ganz schön, schön hier. Ich sollte mich [ENTER]Beim Stadtwächter vorstellen.
TUTORIAL_INTRO_TALK_CITYGUARD	Du hast die Ausbildung bei Meister Hong überlebt?[ENTER]Nicht schlecht, er ist der totale Sadist und liebt es[ENTER]seine Schüler umkommen zu lassen. Seid[ENTER]Monaten kam niemand mehr lebend zurück. [ENTER][ENTER]So jemanden wie dich können wir hier jedoch[ENTER]gut gebrauchen! Ein Krieg steht kurz bevor und[ENTER]die Metinseuche breitet sich auch immer weiter aus.[ENTER]Lange werden wir nicht mehr standhalten können.[ENTER]Ich habe noch etwas Yang für dich, am besten[ENTER]gehst du schnell ins Tal von Seungryong. Dort kannst[ENTER]du noch stärker werden. [ENTER][ENTER]Nun geh, tu was getan werden muss. Zögere nicht![ENTER]Zeige kein Mitgefühl! [ENTER]
TUTORIAL_OBJECTIVE_LV5	Erreiche Lv.5
TUTORIAL_OBJECTIVE_TEACHER	Wähle eine Lehre aus.
TUTORIAL_OBJECTIVE_LV10	Erreiche Lv.10
TUTORIAL_OBJECTIVE_LV20	Erreiche Lv.20
TUTORIAL_OBJECTIVE_LV30	Erreiche Lv.30
TUTORIAL_OBJECTIVE_LISTEN	Höre Ausbilder Hong zu.
