ACCEPT	Confirm
ATTACH_METIN_INFO	Want to use the Spirit Stone?
ATTACH_METIN_TITLE	Insert Spiritstone
CANCEL	Cancel
CHANGE_PASSWORD_CONFIRM	Confirm new password
CHANGE_PASSWORD_NEW	New password
CHANGE_PASSWORD_OLD	Old password
CHANGE_PASSWORD_TITLE	password change
CHARACTER_ACTION	actions
CHARACTER_EMOTICON	emotion
CHARACTER_MAIN	character
CHARACTER_MUTUAL_ACTION	Interactive actions
CHARACTER_NORMAL_ACTION	Normal actions
CHARACTER_QUEST	missions
CHARACTER_SKILL	skills
CLOSE	Close
COSTUME_TITLE	Costumes
COSTUME_WINDOW_TITLE	Costumes
CREATE_ATT_GRADE	STR
CREATE_CREATE create
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	points
CREATE_MAN	man
CREATE_NAME	name
CREATE_NEXT	Next
CREATE_PREV	Back
CREATE_SEX	sex
CREATE_SHAPE	appearance
CREATE_SP	INT
CREATE_STAT_RESET	Back
CREATE_WOMAN	woman
CUBE_INFO_TITLE	finishing Manual
CUBE_REQUIRE_MATERIAL	Required Materials
CUBE_REQUIRE_MATERIAL_OR	or
CUBE_TITLE	finishing window
DO_REFINE	finishing
DRAGONSOUL_ACTIVATE	Activate
DRAGONSOUL_PAGE_BUTTON_1	raw
DRAGONSOUL_PAGE_BUTTON_2	cut
DRAGONSOUL_PAGE_BUTTON_3	rar
DRAGONSOUL_PAGE_BUTTON_4	Antik
DRAGONSOUL_PAGE_BUTTON_5	legendary
DRAGONSOUL_REFINE_WINDOW_TITLE	finishing window
DRAGONSOUL_TAP_TITLE_1	Dragon Diamond
DRAGONSOUL_TAP_TITLE_2	Dragon Rubin
DRAGONSOUL_TAP_TITLE_3	Drachenjade
DRAGONSOUL_TAP_TITLE_4	dragon Saphir
DRAGONSOUL_TAP_TITLE_5	dragon Garnet
DRAGONSOUL_TAP_TITLE_6	Drachenonyx
DRAGONSOUL_TITLE	Drachenstein Alchemy
EMPIRE_EXIT	Exit
EMPIRE_NEXT	Next
EMPIRE_PREV	Back
EMPIRE_SELECT	select empire
EXCHANGE_ACCEPT	Accept
EXCHANGE_TITLE	action
GAMEOPTION_TITLE	game options
GAME_EXIT_OBSERVER	Exit viewer mode
GAME_HELP	Help
GAME_QUEST	tasks
GAME_SKILL_UP	Increase skill
GAME_STAT_UP	raise status
GRADE	class
GRADE_SELECT	class
GUILD_BASENAME	base name
GUILD_BOARD_ID	name
GUILD_BOARD_REFRESH	Refresh (F5)
GUILD_BOARD_TEXT	message
GUILD_BUILDING_CATEGORY_TITLE	units
GUILD_BUILDING_CHANGE	Jump
GUILD_BUILDING_DIRECTION	orientation
GUILD_BUILDING_GRADE	rank
GUILD_BUILDING_INFO	Building and cost information
GUILD_BUILDING_LIST_TITLE	building list
GUILD_BUILDING_LOG	tribe
GUILD_BUILDING_NAME	Building Name
GUILD_BUILDING_OPERATE	operation
GUILD_BUILDING_PLY	plywood
GUILD_BUILDING_POSITION	location
GUILD_BUILDING_PREVIEW	preview
GUILD_BUILDING_PRICE	Price
GUILD_BUILDING_REFRESH	Refresh (F5)
GUILD_BUILDING_STONE	Fu.stein
GUILD_BUILDING_TITLE	guild house building
GUILD_CRYSTAL	crystal
GUILD_DEPOSIT	numbers
GUILD_DROP_RESOURCE1	here
GUILD_DROP_RESOURCE2	Drop resource
GUILD_GEM	gem
GUILD_GRADE_CHANGE_GRADE_NAME	New Rank Name
GUILD_GRADE_NUM	no.
GUILD_GRADE_PERMISSION_DELETE	Dismissed
GUILD_GRADE_PERMISSION_JOIN	Invite
GUILD_GRADE_PERMISSION_NOTICE	letter
GUILD_GRADE_PERMISSION_SKILL	skills
GUILD_GRADE_RANK	rank
GUILD_GRADE_WRITE	letter
GUILD_INFO	Guild Information
GUILD_INFO_CUR_EXP	experience
GUILD_INFO_DECALRE_WAR	declare war
GUILD_INFO_ENEMY_GUILD	Enemy Guild
GUILD_INFO_ENEMY_GUILD_EMPTY	no guild
GUILD_INFO_LEVEL	Guild Level
GUILD_INFO_MARK	guild sign
GUILD_INFO_MASTER	Leader
GUILD_INFO_MASTER_VALUE	Leader
GUILD_INFO_MEMBER_AVG_LEVEL	Average level
GUILD_INFO_MEMBER_NUM	membership
GUILD_INFO_NAME	Guild Name
GUILD_INFO_NAME_VALUE	This is a guild name
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Necessary experience
GUILD_INFO_UPLOAD_MARK	upload logo
GUILD_INFO_UPLOAD_SYMBOL	Upload Flag
GUILD_MARK	guild sign
GUILD_MEMBER_JOB	class
GUILD_MEMBER_KNIGHT	Leader
GUILD_MEMBER_LEVEL	level
GUILD_MEMBER_NAME	name
GUILD_MEMBER_RANK	rank
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_METIN_STONE	Spirit Stone
GUILD_MINENAL	mineral
GUILD_MONEY	Yang
GUILD_NAME	guild
GUILD_RESOURCE_INFO	resource information
GUILD_SKILL_ACTIVE	active
GUILD_SKIlL_HEAL_GSP	charging
GUILD_SKILL_PASSIVE	passive
GUILD_SKILL_POWER	energy
GUILD_SKILL_STATE	Guild skill
GUILD_SYMBOL	guild flag
GUILD_WAR_ACCEPT	Accept Guild Warfare
GUILD_WAR_BATTLE_TYPE	combat style
GUILD_WAR_CTF	flag
GUILD_WAR_DECLARE	Explain Guild War
GUILD_WAR_ENEMY	opponents
GUILD_WAR_NORMAL	field
GUILD_WAR_WARP	Arena
GUILD_WATER	water
GUILD_WATER_STONE	Wasserstein
GUILD_WITHDRAW	company
HELP_ATTACK_KEY	Attack: left mouse button or spacebar
HELP_CHANGE_PK_MODE	Change Attack Mode: Change the assignment of the left mouse button
HELP_CHARACTER_BUTTON1	(character window, inventory window,
HELP_CHARACTER_BUTTON2	friends list and options)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Camera view: middle or right mouse button
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Camera view: right or middle mouse button
HELP_EXP	experience
HELP_FURY	Ingame Item Shop
HELP_GUILD_WINDOW	Open guild window: Alt + G
HELP_HELP	Show Help: H
HELP_HP	hit points (TP)
HELP_MESSENGER_WINDOW	Open friend list: Alt + M
HELP_MOUSE_LEFT	Function of the left mouse button
HELP_MOUSE_RIGHT	Function of the right mouse button
HELP_MOVE_KEY	Control: W, A, S, D or arrow keys
HELP_OPEN_CHARACTER	Open character window: C
HELP_OPEN_CHAT	Open chat window: Enter
HELP_OPEN_INVENTORY	Open Inventory Window: I
HELP_OPEN_LOG	Open chat log (Log): L
HELP_OPEN_MINIMAP	Open the minimap: Shift + M
HELP_OPEN_QUEST	Open job window: N
HELP_OPEN_SKILL	Open skill window: V
HELP_OPEN_WHISPER	Open Whisper Window: Shift + Enter
HELP_OPEN_ZONEMAP	Open overview map: M
HELP_PICK_ITEM	Unpare items: ^ or Y or left mouse button
HELP_QUICKSLOT	quickslots
